Financing of the RUA 		 financing of the RUA 		 Score: 1.0000
1 200 		 EPICT 		 Score: 0.2270
"Transferring the competence ""scholarship"" from CROUS to the organization in charge of the RUA" 		 moving towards a universal income 		 Score: 0.2270
Tracking down fraud, enforcing the non-accumulation of mandates, reducing public/private disparities 		 have a low income 		 Score: 0.2270
not 		 look at the most recent situation 		 Score: 0.2270
Make dividend payments conditional on salary improvements 		 Family allowances from the 1st child 		 Score: 0.2270
CONTRIBUTING: the ONLY REAL WAY OUT 		 With more financial means because it will have losers 		 Score: 0.2270
duty of care 		 against 		 Score: 0.2270
infringement of the rights of the families of persons with disabilities 		 Restore coherence to all compulsory levies. 		 Score: 0.2270
"Plan an awareness campaign for the general public on the "precarious" status of the individual". 		 A truly universal income... 		 Score: 0.2270
how to apply for the SUP 		 Set a decent minimum income. 		 Score: 0.2270
Make dividend payments conditional on salary improvements 		 A 0.5% increase in VAT could finance this solidarity effort. 		 Score: 0.2270
Dependent child 		 deterioration of social assistance 		 Score: 0.2270
Reintegration 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2270
activity = work 		 PAYMENT 		 Score: 0.2269
Tracking down fraud and waste 		 Recoverable from the estate 		 Score: 0.2269
More control 		 counterpart 		 Score: 0.2269
Restore leave Competency Assessment 		 For an RMA at 1300 euros net per month for all without income conditions 		 Score: 0.2269
Increase the amounts according to the distance from the training centres 		 Ask the Ministry of Finance 		 Score: 0.2269
duty of care 		 REUNITE 		 Score: 0.2269
Make it simple! 		 Automaticity 		 Score: 0.2269
Allow each person to choose a career path over several years 		 Consideration of family situation 		 Score: 0.2269
Rights ok, but duties too 		 Fight against tax evasion and stop tax giveaways (CICE) etc 		 Score: 0.2269
a single base 		 To be combined with the needs 		 Score: 0.2269
RUA compatible with unemployment benefits 		 should continue to be paid on a means-tested basis 		 Score: 0.2269
No exclusionary incompatibilities for students 		 Why not solidarity vouchers? 		 Score: 0.2269
CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Score: 0.2269
resources for all 		 Minimum income for all 		 Score: 0.2269
infringement of the rights of the families of persons with disabilities 		 RU accumulation of seniority and dependent child 		 Score: 0.2269
Equality between siblings 		 Question not applicable because AAH beneficiaries should not be included in the RUA 		 Score: 0.2269
alone (or alone) with a child with a disability ... 		 just on income 		 Score: 0.2268
Quarterly reporting 		 Census and approach 		 Score: 0.2268
Be careful to take all situations into account 		 to all since it will be universal without conditions .... 		 Score: 0.2268
Crime 		 Expenses 		 Score: 0.2268
for new graduate students 		 REVENUE FUND 		 Score: 0.2268
Recognizing volunteer investment in public interest organizations 		 Simple and guaranteed e.g. 600 per adult, 300 per child, for all regardless of income. 		 Score: 0.2268
RUA compatible with unemployment benefits 		 that Universal Income be taxable 		 Score: 0.2268
terms and conditions 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2268
Terms and conditions 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2268
terms and conditions 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2268
terms and conditions 		 Possibility of management by private funds in addition to the state. 		 Score: 0.2268
according to the resources of each entity, separately: couple, child, single person 		 Merging the different layers of the community. 		 Score: 0.2268
Simplification and merging of different aids 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2268
operation 		 Entrust the management and payment of the RUA to the future public service for integration (and employment) 		 Score: 0.2268
No strings attached as it will replace all social benefits... 		 A 0.5% increase in VAT could finance this solidarity effort. 		 Score: 0.2267
Considering treatment failures for AHA 		 activity in return for the rua 		 Score: 0.2267
Homeowners have outstanding loans 		 housing allowance 		 Score: 0.2267
Permanent exclusion from the rua 		 Conditions - 1400 euros net Universal Minimum Income 		 Score: 0.2267
The financing is to be imposed on companies that have installed automation in their activities. 		 A compensatory Universal Activity Income 		 Score: 0.2267
Robots or robotic machines are already replacing employees in many companies... 		 look at the most recent situation 		 Score: 0.2267
Avoiding redundant requests for evidence or documents 		 why is it shameful or offensive to ask for something in return for a RUA??? 		 Score: 0.2267
Automaticity 		 To be combined with the needs 		 Score: 0.2267
UNIVERSITY 		 Universal income 		 Score: 0.2267
Universal Stock Exchange Contribution 		 How to redistribute in solidarity 		 Score: 0.2267
IN THE LONG TERM... 		 Take into account the cost of housing 		 Score: 0.2267
Take everything into account 		 the conditions 		 Score: 0.2266
End of the automatic right without compensation 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2266
Take money where you can get it 		 Ask the Ministry of Finance 		 Score: 0.2266
do not include the APL in this reform 		 Financing the universal income by stopping the waste of public money 		 Score: 0.2266
Fight against tax evasion and stop tax giveaways (CICE) etc 		 Lifetime wages without ruining the state (but that the bosses won't like) 		 Score: 0.2266
Consideration of family situation 		 Avoiding poverty and inflation. 		 Score: 0.2266
IN THE LONG TERM... 		 RU accumulation of seniority and dependent child 		 Score: 0.2266
INFORM PEOPLE 		 As soon as the Universal Activity Income is granted, offer immediate professional and/or social support, depending on the person's situation 		 Score: 0.2266
AAH and RUA 		 EPICT 		 Score: 0.2266
An evaluation by a social worker (half on a grid, half human) and multi-disciplinary support 		 Family composition, income from work, rent due : The RUA would be calculated according to several criteria 		 Score: 0.2266
Giving time to society 		 the conditions 		 Score: 0.2265
only condition = French citizen 		 Taking into account disability and dependent children 		 Score: 0.2265
Automatic allocation 		 resources for all 		 Score: 0.2265
CONDITIONS must be akin to a FEELING OF FREE CHOICE! 		 Establish a Universal Income for all (and therefore not "activity") 		 Score: 0.2265
Automatic allocation 		 FINANCING 		 Score: 0.2265
Automatic allocation 		 Financing 		 Score: 0.2265
Automatic allocation 		 Financing 		 Score: 0.2265
duty of care 		 infringement of the rights of the families of persons with disabilities 		 Score: 0.2265
State financing and not by local authorities 		 By taxing cannabis, after it is legalized. 		 Score: 0.2265
Automatic for all 		 Universal individual monthly wage 		 Score: 0.2265
terms and conditions 		 The Company pays 		 Score: 0.2265
Terms and conditions 		 The Company pays 		 Score: 0.2265
terms and conditions 		 The Company pays 		 Score: 0.2265
terms and conditions 		 The Company pays 		 Score: 0.2265
Avoiding duplication 		 Permanent exclusion from the rua 		 Score: 0.2265
against 		 FINANCING 		 Score: 0.2264
against 		 Financing 		 Score: 0.2264
against 		 Financing 		 Score: 0.2264
Kalissy06 		 Developing the mobile application mesdroitssociaux.gouv.fr 		 Score: 0.2264
No strings attached as it will replace all social benefits... 		 Variable depending on rent and transportation costs. 		 Score: 0.2264
infringement of the rights of the families of persons with disabilities 		 There should be no conditions for universal income, other than age (and still...). 		 Score: 0.2264
Take into account specific problems 		 Consider only the personal circumstances of the applicant 		 Score: 0.2264
Under what conditions 		 RU accumulation of seniority and dependent child 		 Score: 0.2264
CONTRIBUTING: the ONLY REAL WAY OUT 		 Why not solidarity vouchers? 		 Score: 0.2264
By abolishing the CICE. 		 The UR should replace all social benefits and therefore can benefit from the reorientation of existing credits 		 Score: 0.2264
Take into account unrecognized disabilities. 		 Ensure continuity of entitlements and prohibit abusive suspensions of benefit payments 		 Score: 0.2264
Gains in the fight against tax fraud 		 equality of the republic, that the richest share with the poorest 		 Score: 0.2263
